la	lb
gupa1247	dhuw1249
gupa1247	djam1256
gupa1248	ebir1243
gura1251	chal1275
gura1252	bura1267
gura1252	gunw1252
gure1255	baya1257
gurg1240	gher1238
gurg1241	chag1247
guri1248	akkk1240
gurm1246	basa1281
guru1261	bahi1252
guru1271	bada1258
guru1271	dugu1249
gusi1246	bayo1255
guwa1243	biga1237
guya1251	asar1240
guya1251	bulg1265
gwah1244	guya1251
gwam1244	clel1238
gwan1268	ashe1269
gwan1268	gade1242
gwar1240	begb1241
gwen1239	asut1235
gwii1239	gana1274
gyel1242	bako1249
gyem1238	gamo1241
gyem1238	gwaa1239
habu1241	galo1243
hado1235	baur1251
haip1238	cunn1236
hais1244	gitx1241
hait1244	domi1236
hait1244	hait1241
haka1240	chak1266
halb1244	east2340
hali1244	hako1237
hama1240	abui1241
hame1242	arbo1245
hang1263	ambu1247
hani1248	alug1235
hani1248	coon1239
hank1234	chan1326
hann1241	gwic1235
hano1243	haip1238
hano1246	baet1237
hanu1241	buhi1245
hara1258	dair1239
hara1271	east2652
haro1237	bahn1262
hars1241	dhof1235
hash1238	buuu1244
hatt1246	baje1238
haus1246	gade1242
haus1246	gbar1246
haus1257	bari1241
have1241	haek1239
hawa1235	aleu1260
hawa1245	cent2138
hawa1247	hawa1235
hawa1247	hawa1245
hawk1239	awab1243
haza1239	dari1249
hdii1240	gvok1239
hebr1245	east2690
hehe1240	gogo1263
heil1246	bell1243
hema1238	amba1263
hemb1242	bwil1245
hemb1242	cong1236
hewa1241	duna1248
heyo1240	ayip1235
hibi1243	caja1238
hibi1243	chac1250
hida1246	assi1247
higa1237	binu1244
higa1237	butu1244
higa1237	cina1236
high1243	coyu1235
high1275	bent1237
high1275	coas1295
high1278	filo1235
high1278	high1243
hiju1238	basa1284
hind1269	baur1251
hind1269	bazi1237
hinu1240	cham1309
hitu1239	ambo1250
hlai1239	cunn1236
hlep1236	anip1235
hlep1236	bokh1237
hmon1332	baha1256
hmon1332	emab1235
hmon1333	coon1239
hmwa1243	have1241
